Collection Code,Survey Code,Collection Type,Barcoding Data,Survey Date,Date,Sample Time,Location,Sample Depth,Flow Meter In,Flow Meter Out,Net Depth,Preservation,Net Revolutions,Net ID,Mesh Size,Net Diameter,Net Length,Net Configuration,Notes,split,annelid.trochophore,Polychaeta- adult,Cyphonaute,Bipinnaria,Ophiopluteus,Nemertea,Phoronidea,Chaetognatha,Bosminidae,Podon,Evadne,Ostracoda,Mysidacea,Stomatopoda,Amphiopda,Decapoda,Euphausiacea,Cirripedia Larvae,Calanoida,Cyclopoida,Harpacticoida,Poecilotomatoida,Larvacea,Pteropod,Protista,Gastropoda,Littorina egg cases,Bivalvia,Ctenophora,chordata_eggs,chordata_Larvae,Hydrozoan,Siphonophora,Scyphozoa,Trocophore.larvae,euphausid.larvae,Insecta
QPK2071,BIOMS-4,Fixed sample,NA,2020-06-22,2020-06-22,09:25:32,NA,6,287531,287758,6,Formalin,227,1,250,50,200,Single,NA,Split 3 times*,24,0,0,0,0,0,0,0,160,752,3568,32,8,0,NA,48,0,1728,640,0,0,16,1728,0,0,184,32,0,0,0,0,56,0,0,24,0,0
QPK2073,BIOMS-5,Fixed sample,NA,2020-06-22,2020-06-22,17:08:03,NA,6,288130,288406,6,Formalin,276,1,250,50,200,Single,NA,Split 3 times*,16,0,0,16,0,0,0,0,144,1472,1704,88,32,0,NA,0,0,1368,408,0,0,8,1744,0,0,328,160,0,0,0,0,32,0,0,16,24,0
QPK2074,BIOMS-6,Fixed sample,NA,2020-06-23,2020-06-23,11:04:05,"lat=50.117037, long=-125.222539, alt=2.530025, hAccuracy=10.000000, vAccuracy=12.000000, timestamp=2020-06-23T17:13:20Z",6,288677,288898,6,Formalin,221,1,250,50,200,Single,NA,0,6,0,26,6,0,0,0,0,36,287,476,23,1,0,1,1,0,154,67,0,0,3,372,0,0,192,8,46,5,15,1,62,0,0,5,0,0
QPK2075,BIOMS-7,Fixed sample,NA,2020-06-23,2020-06-23,17:54:45,NA,6,288950,289186,6,Formalin,236,1,250,50,200,Single,NA,0,1,0,4,7,0,0,0,0,73,348,589,22,0,0,0,0,0,70,75,0,0,4,76,0,0,67,4,5,NA,8,0,14,0,0,3,0,0
QPK2076,BIOMS-9,Fixed sample,NA,2020-06-29,2020-06-29,09:21:15,NA,6,297853,298033,6,Formalin,180,1,250,50,200,Single,NA,0,0,0,2,0,0,0,0,0,1,100,125,0,11,0,7,37,0,11,164,0,0,0,14,0,0,15,2,4,3,10,0,2,0,0,0,0,0
QPK2077,BIOMS-10,Fixed sample,NA,2020-06-29,2020-06-29,14:31:36,"lat=50.117039, long=-125.222698, alt=13.565975, hAccuracy=10.000000, vAccuracy=12.000000, timestamp=2020-06-29T21:04:36Z",5,298040,298207,5,Formalin,167,1,250,50,200,Single,NA,0,0,0,0,0,0,0,0,0,0,38,18,0,0,0,2,8,0,26,79,2,0,4,20,0,0,7,1,0,4,15,0,5,0,0,0,0,0
QPK2078,BIOMS-11,Fixed sample,NA,2020-06-30,2020-06-30,09:32:08,"lat=50.117156, long=-125.222566, alt=1.298397, hAccuracy=10.000000, vAccuracy=8.000000, timestamp=2020-06-30T16:06:00Z",3,NA,NA,3,Formalin,NA,1,250,50,200,Single,NA,0,0,0,0,0,0,0,0,0,0,55,12,3,1,0,0,2,0,78,69,0,0,4,33,0,0,16,29,4,1,10,0,7,0,0,0,0,0
QPK2079,BIOMS-12,Fixed sample,NA,2020-07-06,2020-07-06,09:35:26,NA,6,NA,NA,6,Formalin,NA,1,250,50,200,Single,NA,0,0,2,10,0,1,0,0,0,7,113,301,2,2,0,5,2,8,227,443,0,1,7,183,1,0,5,2,90,0,20,NA,8,0,0,0,7,1
QPK2084,BIOMS-15,Fixed sample,NA,2020-07-13,2020-07-13,09:17:21,"lat=50.117188, long=-125.222791, alt=13.510925, hAccuracy=10.000000, vAccuracy=16.000000, timestamp=2020-07-13T16:02:11Z",6,NA,NA,6,Formalin,NA,1,250,50,200,Single,NA,0,14,1,98,3,5,0,0,0,72,165,6,8,1,0,1,3,0,29,629,0,0,16,23,0,0,208,3,13,27,9,0,34,0,0,12,2,0
QPK2101,BIOMS-18,Fixed sample,NA,2020-07-20,2020-07-20,09:31:07,"lat=50.117146, long=-125.222420, alt=-8.058323, hAccuracy=10.000000, vAccuracy=12.000000, timestamp=2020-07-20T15:57:11Z",5,328519,328668,5,Formalin,149,1,250,50,200,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QPK2090,BIOMS-19,Fixed sample,NA,2020-07-27,2020-07-27,10:41:47,NA,6,337615,337734,6,Formalin,119,1,250,50,200,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
